,player_type,count,skull_threshold
2,"smart 2: 0, 0.6",285,0.888888888888889
3,"smart 2: 2, 0.6",328,0.888888888888889
0,approx q learning,213,0.8989898989898991
1,"smart 2: 0, 0.4",184,0.8989898989898991
2,"smart 2: 0, 0.6",277,0.8989898989898991
3,"smart 2: 2, 0.6",326,0.8989898989898991
0,approx q learning,205,0.9090909090909092
1,"smart 2: 0, 0.4",196,0.9090909090909092
2,"smart 2: 0, 0.6",258,0.9090909090909092
3,"smart 2: 2, 0.6",341,0.9090909090909092
0,approx q learning,202,0.9191919191919192
1,"smart 2: 0, 0.4",177,0.9191919191919192
2,"smart 2: 0, 0.6",283,0.9191919191919192
3,"smart 2: 2, 0.6",338,0.9191919191919192
0,approx q learning,177,0.9292929292929294
1,"smart 2: 0, 0.4",192,0.9292929292929294
2,"smart 2: 0, 0.6",297,0.9292929292929294
3,"smart 2: 2, 0.6",334,0.9292929292929294
0,approx q learning,192,0.9393939393939394
1,"smart 2: 0, 0.4",173,0.9393939393939394
2,"smart 2: 0, 0.6",267,0.9393939393939394
3,"smart 2: 2, 0.6",368,0.9393939393939394
0,approx q learning,211,0.9494949494949496
1,"smart 2: 0, 0.4",183,0.9494949494949496
2,"smart 2: 0, 0.6",265,0.9494949494949496
3,"smart 2: 2, 0.6",341,0.9494949494949496
0,approx q learning,185,0.9595959595959597
1,"smart 2: 0, 0.4",191,0.9595959595959597
2,"smart 2: 0, 0.6",275,0.9595959595959597
3,"smart 2: 2, 0.6",349,0.9595959595959597
0,approx q learning,187,0.9696969696969697
1,"smart 2: 0, 0.4",178,0.9696969696969697
2,"smart 2: 0, 0.6",276,0.9696969696969697
3,"smart 2: 2, 0.6",359,0.9696969696969697
0,approx q learning,206,0.9797979797979799
1,"smart 2: 0, 0.4",179,0.9797979797979799
2,"smart 2: 0, 0.6",272,0.9797979797979799
3,"smart 2: 2, 0.6",343,0.9797979797979799
0,approx q learning,187,0.98989898989899
1,"smart 2: 0, 0.4",187,0.98989898989899
2,"smart 2: 0, 0.6",300,0.98989898989899
3,"smart 2: 2, 0.6",326,0.98989898989899
0,approx q learning,16,1.0
1,"smart 2: 0, 0.4",267,1.0
2,"smart 2: 0, 0.6",324,1.0
3,"smart 2: 2, 0.6",393,1.0
