,player_type,player,result
833,rand,2,win via score
834,nice,0,win via score
835,rand,3,win via score
836,rand,3,win via score
837,nice,0,win via score
838,rand,2,win via score
839,rand,3,win via score
840,nice,0,win via score
841,nice,0,win via score
842,rand,3,win via score
843,nice,0,win via score
844,nice,0,win via score
845,rand,2,win via score
846,nice,0,win via score
847,rand,3,win via score
848,nice,0,win via score
849,nice,0,win via score
850,nice,0,win via score
851,nice,0,win via score
852,rand,2,win via score
853,rand,3,win via score
854,mean,1,win via score
855,nice,0,win via score
856,rand,2,win via score
857,rand,2,win via score
858,rand,2,win via score
859,rand,2,win via score
860,rand,2,win via score
861,nice,0,win via score
862,rand,3,win via score
863,nice,0,win via score
864,nice,0,win via score
865,rand,3,win via score
866,rand,2,win via score
867,nice,0,win via score
868,nice,0,win via score
869,nice,0,win via score
870,rand,3,win via score
871,nice,0,win via score
872,rand,3,win via score
873,nice,0,win via score
874,nice,0,win via score
875,nice,0,win via score
876,rand,3,win via score
877,rand,2,win via score
878,nice,0,win via score
879,nice,0,win via score
880,rand,3,win via score
881,nice,0,win via score
882,nice,0,win via score
883,nice,0,win via score
884,rand,3,win via score
885,nice,0,win via score
886,nice,0,win via score
887,rand,2,win via score
888,rand,3,win via score
889,rand,3,win via score
890,rand,2,win via score
891,rand,2,win via score
892,nice,0,win via score
893,rand,3,win via score
894,rand,3,win via score
895,rand,2,win via score
896,nice,0,win via score
897,nice,0,win via score
898,rand,3,win via score
899,nice,0,win via score
900,nice,0,win via score
901,rand,3,win via score
902,nice,0,win via score
903,rand,3,win via score
904,rand,2,win via score
905,nice,0,win via score
906,rand,2,win via score
907,rand,3,win via score
908,nice,0,win via score
909,nice,0,win via score
910,nice,0,win via score
911,rand,2,win via score
912,nice,0,win via score
913,rand,3,win via score
914,nice,0,win via score
915,nice,0,win via score
916,rand,3,win via score
917,nice,0,win via score
918,rand,3,win via score
919,rand,2,win via score
920,rand,2,win via score
921,nice,0,win via score
922,nice,0,win via score
923,nice,0,win via score
924,rand,2,win via score
925,rand,3,win via score
926,rand,2,win via score
927,mean,1,win via elim
928,rand,2,win via score
929,nice,0,win via score
930,rand,2,win via score
931,rand,2,win via score
932,rand,2,win via score
933,rand,2,win via score
934,nice,0,win via score
935,rand,2,win via score
936,rand,2,win via score
937,rand,3,win via score
938,nice,0,win via score
939,rand,3,win via score
940,nice,0,win via score
941,rand,2,win via score
942,rand,2,win via score
943,nice,0,win via score
944,rand,3,win via score
945,rand,2,win via score
946,nice,0,win via score
947,nice,0,win via score
948,nice,0,win via score
949,nice,0,win via score
950,rand,2,win via score
951,rand,3,win via score
952,nice,0,win via score
953,nice,0,win via score
954,nice,0,win via score
955,rand,2,win via score
956,rand,2,win via score
957,rand,2,win via score
958,rand,2,win via score
959,rand,2,win via score
960,rand,3,win via score
961,nice,0,win via score
962,rand,3,win via score
963,rand,2,win via score
964,rand,3,win via score
965,rand,3,win via score
966,nice,0,win via score
967,rand,3,win via score
968,nice,0,win via score
969,nice,0,win via score
970,rand,2,win via score
971,nice,0,win via score
972,nice,0,win via score
973,nice,0,win via score
974,rand,3,win via score
975,nice,0,win via score
976,rand,3,win via score
977,rand,3,win via score
978,rand,3,win via score
979,nice,0,win via score
980,nice,0,win via score
981,rand,2,win via score
982,nice,0,win via score
983,rand,3,win via score
984,nice,0,win via score
985,nice,0,win via score
986,nice,0,win via score
987,rand,3,win via score
988,nice,0,win via score
989,nice,0,win via score
990,nice,0,win via score
991,rand,2,win via score
992,nice,0,win via score
993,nice,0,win via score
994,nice,0,win via score
995,rand,2,win via score
996,rand,2,win via score
997,rand,3,win via score
998,rand,2,win via score
999,rand,2,win via score
1000,nice,0,win via score
1001,nice,0,win via score
1002,nice,0,win via score
1003,nice,0,win via score
1004,rand,2,win via score
1005,rand,3,win via score
1006,rand,3,win via score
1007,rand,2,win via score
1008,rand,3,win via score
1009,rand,3,win via score
1010,nice,0,win via score
1011,nice,0,win via score
1012,rand,2,win via score
1013,nice,0,win via score
1014,nice,0,win via score
1015,nice,0,win via score
1016,rand,3,win via score
1017,rand,2,win via score
1018,nice,0,win via score
1019,rand,2,win via score
1020,rand,2,win via score
1021,nice,0,win via score
1022,rand,3,win via score
1023,rand,3,win via score
1024,nice,0,win via score
1025,nice,0,win via score
1026,rand,2,win via score
1027,nice,0,win via score
1028,nice,0,win via score
1029,rand,3,win via score
1030,rand,2,win via score
1031,nice,0,win via score
1032,rand,2,win via score
1033,rand,3,win via score
1034,rand,2,win via score
1035,rand,2,win via score
1036,rand,3,win via score
1037,nice,0,win via score
1038,nice,0,win via score
1039,rand,2,win via score
1040,rand,3,win via score
1041,rand,3,win via score
1042,nice,0,win via score
1043,nice,0,win via score
1044,rand,2,win via score
1045,nice,0,win via score
1046,rand,3,win via score
1047,rand,3,win via score
1048,rand,2,win via score
1049,rand,2,win via score
1050,nice,0,win via score
1051,rand,2,win via score
1052,nice,0,win via score
1053,nice,0,win via score
1054,rand,3,win via score
1055,rand,2,win via score
1056,nice,0,win via score
1057,nice,0,win via score
1058,rand,2,win via score
1059,rand,3,win via score
1060,nice,0,win via score
1061,rand,3,win via score
1062,rand,3,win via score
1063,rand,2,win via score
1064,rand,2,win via score
1065,rand,3,win via score
1066,nice,0,win via score
1067,nice,0,win via score
1068,nice,0,win via score
1069,nice,0,win via score
1070,nice,0,win via score
1071,rand,2,win via score
1072,rand,3,win via score
1073,nice,0,win via score
1074,nice,0,win via score
1075,nice,0,win via score
1076,nice,0,win via score
1077,nice,0,win via score
1078,rand,2,win via score
1079,rand,3,win via score
1080,rand,2,win via score
1081,nice,0,win via score
1082,nice,0,win via score
1083,rand,3,win via score
1084,nice,0,win via score
1085,nice,0,win via score
1086,rand,3,win via score
1087,nice,0,win via score
1088,nice,0,win via score
1089,nice,0,win via score
1090,rand,2,win via score
1091,nice,0,win via score
1092,rand,2,win via score
1093,nice,0,win via score
1094,rand,3,win via score
1095,rand,3,win via score
1096,rand,2,win via score
1097,rand,2,win via score
1098,nice,0,win via score
1099,nice,0,win via score
1100,nice,0,win via score
1101,rand,3,win via score
1102,nice,0,win via score
1103,rand,3,win via score
1104,rand,2,win via score
1105,rand,3,win via score
1106,rand,3,win via score
1107,rand,3,win via score
1108,rand,3,win via score
1109,nice,0,win via score
1110,nice,0,win via score
1111,rand,3,win via score
1112,rand,2,win via score
1113,rand,3,win via score
1114,nice,0,win via score
1115,rand,2,win via score
1116,nice,0,win via score
1117,rand,2,win via score
1118,nice,0,win via score
1119,rand,2,win via score
1120,rand,2,win via score
1121,rand,3,win via score
1122,rand,3,win via score
1123,nice,0,win via score
1124,rand,3,win via score
1125,rand,2,win via score
1126,rand,3,win via score
1127,rand,2,win via score
1128,nice,0,win via score
1129,nice,0,win via score
1130,nice,0,win via score
1131,nice,0,win via score
1132,nice,0,win via score
1133,rand,2,win via score
1134,rand,3,win via score
1135,nice,0,win via score
1136,nice,0,win via score
1137,rand,2,win via score
1138,nice,0,win via score
1139,rand,2,win via score
1140,rand,2,win via score
1141,rand,3,win via score
1142,nice,0,win via score
1143,rand,2,win via score
1144,rand,2,win via score
1145,rand,3,win via score
1146,nice,0,win via score
1147,rand,2,win via score
1148,nice,0,win via score
1149,rand,2,win via score
1150,rand,2,win via score
1151,rand,3,win via score
1152,rand,3,win via score
1153,nice,0,win via score
1154,rand,3,win via score
1155,nice,0,win via score
1156,nice,0,win via score
1157,nice,0,win via score
1158,rand,3,win via score
1159,rand,3,win via score
1160,rand,2,win via score
1161,nice,0,win via score
1162,rand,3,win via score
1163,nice,0,win via score
1164,nice,0,win via score
1165,rand,3,win via score
1166,nice,0,win via score
1167,nice,0,win via score
1168,nice,0,win via score
1169,rand,2,win via score
