,player,result
897,0,win via score
898,1,win via score
899,3,win via score
900,3,win via elim
901,0,win via score
902,2,win via score
903,1,win via score
904,1,win via score
905,2,win via score
906,2,win via score
907,1,win via score
908,0,win via score
909,2,win via score
910,3,win via score
911,3,win via score
912,0,win via score
913,1,win via score
914,1,win via score
915,1,win via score
916,3,win via score
917,0,win via score
918,3,win via score
919,0,win via score
920,0,win via score
921,2,win via score
922,3,win via score
923,1,win via score
924,1,win via score
925,2,win via score
926,0,win via score
927,2,win via score
928,0,win via score
929,0,win via score
930,2,win via score
931,0,win via score
932,1,win via score
933,3,win via score
934,0,win via score
935,0,win via score
936,2,win via score
937,2,win via score
938,3,win via score
939,1,win via score
940,1,win via score
941,1,win via score
942,1,win via score
943,1,win via score
944,2,win via score
945,3,win via score
946,2,win via score
947,3,win via score
948,2,win via score
949,0,win via score
950,1,win via score
951,1,win via elim
952,3,win via score
953,3,win via score
954,0,win via score
955,0,win via score
956,2,win via score
957,0,win via score
958,3,win via score
959,0,win via score
960,3,win via score
961,0,win via score
962,1,win via score
963,3,win via score
964,3,win via score
965,2,win via score
966,0,win via score
967,0,win via score
968,0,win via score
969,1,win via score
970,1,win via score
971,0,win via score
972,1,win via score
973,0,win via score
974,1,win via score
975,0,win via score
976,2,win via score
977,1,win via score
978,2,win via score
979,2,win via score
980,2,win via score
981,3,win via score
982,1,win via score
983,3,win via score
984,1,win via score
985,1,win via score
986,1,win via score
987,3,win via score
988,1,win via score
989,3,win via score
990,1,win via score
991,1,win via score
992,2,win via score
993,3,win via score
994,3,win via score
995,2,win via score
996,1,win via score
997,2,win via score
998,1,win via score
999,2,win via score
1000,3,win via score
1001,2,win via score
1002,2,win via score
1003,0,win via score
1004,3,win via elim
1005,3,win via score
1006,2,win via score
1007,3,win via score
1008,2,win via score
1009,0,win via score
1010,3,win via score
1011,0,win via score
1012,3,win via score
1013,1,win via score
1014,3,win via score
1015,1,win via score
1016,2,win via score
1017,1,win via score
1018,1,win via score
1019,3,win via score
1020,0,win via score
1021,1,win via score
1022,1,win via score
1023,3,win via score
1024,1,win via score
1025,2,win via score
1026,0,win via score
1027,0,win via score
1028,2,win via score
1029,1,win via score
1030,2,win via score
1031,2,win via score
1032,0,win via score
1033,1,win via score
1034,0,win via score
1035,2,win via score
1036,3,win via score
1037,0,win via score
1038,3,win via elim
1039,3,win via score
1040,2,win via score
1041,3,win via elim
1042,1,win via score
1043,0,win via score
1044,1,win via score
1045,0,win via score
1046,2,win via score
1047,0,win via score
1048,3,win via score
1049,0,win via score
1050,3,win via score
1051,0,win via score
1052,3,win via score
1053,0,win via score
1054,3,win via score
