,eps_num,w_diff,result
402,402.0,1.0090284299494924e+145,0.0
403,403.0,2.901789236402405e+146,attempt loss
404,404.0,1.2416821864361661e+147,attempt won
405,405.0,8.824313436843744e+146,other player no skull
406,406.0,6.212228409810216e+147,other player no skull
407,407.0,2.982417098934398e+147,0.0
408,408.0,1.118102897881352e+149,attempt loss
409,409.0,6.748842897607304e+149,0.0
410,410.0,2.017947096087556e+151,other player no skull
411,411.0,4.719329376984661e+148,0.0
412,412.0,4.0857794926297294e+149,other player skull
413,413.0,3.47291256873527e+150,other player skull
414,414.0,1.997576634843704e+150,0.0
415,415.0,5.992729904531123e+150,other player no skull
416,416.0,4.505659373617e+151,other player skull
417,417.0,1.6979430578310967e+152,other player no skull
418,418.0,8.904176038287308e+151,attempt loss
419,419.0,1.6541278209064273e+152,attempt loss
420,420.0,2.189100396152244e+152,other player no skull
421,421.0,6.101104590618805e+152,attempt loss
422,422.0,6.768447050941359e+152,0.0
423,423.0,7.568006828265621e+153,other player skull
424,424.0,5.206169342118112e+152,0.0
425,425.0,8.834360256002647e+153,attempt loss
426,426.0,7.50920621760225e+154,attempt loss
427,427.0,6.432110862654346e+154,other player no skull
428,428.0,7.211367224391424e+155,other player no skull
429,429.0,4.611105210861697e+155,other player no skull
430,430.0,2.6050194119415764e+155,0.0
431,431.0,2.2566526630047165e+157,other player no skull
432,432.0,6.798237641405276e+155,0.0
433,433.0,2.2466654503981244e+157,other player no skull
434,434.0,1.552523984398252e+158,other player no skull
435,435.0,1.5181842488041316e+158,other player skull
436,436.0,5.271287209173306e+158,attempt loss
437,437.0,5.52777854859908e+158,other player skull
438,438.0,1.5466844429625009e+159,other player no skull
439,439.0,1.8449505232106573e+159,attempt loss
440,440.0,2.372261870577624e+159,0.0
441,441.0,5.2603563488758193e+160,attempt loss
442,442.0,5.3606777436786925e+158,0.0
443,443.0,1.1153572308024904e+158,0.0
444,444.0,2.2093328962135507e+159,other player no skull
445,445.0,1.3715663124394521e+160,other player skull
446,446.0,7.77359152036038e+160,other player no skull
447,447.0,7.784444955130303e+161,other player skull
448,448.0,3.083779561113697e+161,other player no skull
449,449.0,2.5003963885145528e+162,other player skull
450,450.0,5.125462805063569e+162,other player skull
451,451.0,2.852742337942187e+163,other player no skull
452,452.0,1.0514306346286593e+163,attempt loss
453,453.0,4.7790530578859416e+163,other player no skull
454,454.0,3.730461799582298e+162,0.0
455,455.0,3.1708925296449533e+162,0.0
456,456.0,3.4914728873447794e+163,0.0
457,457.0,3.439419433240087e+164,attempt loss
458,458.0,1.9243121664668996e+165,other player no skull
459,459.0,3.392447875418545e+164,other player no skull
460,460.0,4.630098740122442e+165,other player skull
461,461.0,1.5242556792506557e+166,attempt loss
462,462.0,1.5546601160554759e+167,other player no skull
463,463.0,4.050468958273126e+166,other player no skull
464,464.0,4.5321454169907297e+167,other player no skull
465,465.0,6.16927016752566e+167,attempt loss
466,466.0,1.3384012773169947e+168,other player no skull
