,player_type,player,result
168,"smart 2: 2, 0.6",2,win via score
169,"smart 2: 0, 0.6",3,win via score
170,"smart 2: 2, 0.6",2,win via score
171,"smart 2: 0, 0.4",1,win via score
172,approx q learning,0,win via score
173,approx q learning,0,win via score
174,"smart 2: 2, 0.6",2,win via score
175,approx q learning,0,win via score
176,approx q learning,0,win via score
177,approx q learning,0,win via score
178,approx q learning,0,win via score
179,"smart 2: 2, 0.6",2,win via score
180,"smart 2: 2, 0.6",2,win via score
181,"smart 2: 0, 0.6",3,win via score
182,"smart 2: 2, 0.6",2,win via score
183,"smart 2: 0, 0.6",3,win via score
184,"smart 2: 0, 0.4",1,win via score
185,"smart 2: 2, 0.6",2,win via score
186,"smart 2: 0, 0.6",3,win via score
187,"smart 2: 0, 0.6",3,win via score
188,"smart 2: 0, 0.4",1,win via elim
189,"smart 2: 2, 0.6",2,win via score
190,"smart 2: 2, 0.6",2,win via score
191,"smart 2: 0, 0.6",3,win via score
192,"smart 2: 0, 0.6",3,win via elim
193,"smart 2: 2, 0.6",2,win via elim
194,"smart 2: 2, 0.6",2,win via score
195,"smart 2: 0, 0.4",1,win via score
196,"smart 2: 0, 0.4",1,win via score
197,"smart 2: 2, 0.6",2,win via score
198,"smart 2: 2, 0.6",2,win via score
199,"smart 2: 0, 0.6",3,win via score
200,"smart 2: 0, 0.6",3,win via elim
201,"smart 2: 0, 0.4",1,win via score
202,"smart 2: 0, 0.6",3,win via elim
203,"smart 2: 2, 0.6",2,win via score
204,"smart 2: 0, 0.6",3,win via score
205,"smart 2: 2, 0.6",2,win via score
206,"smart 2: 2, 0.6",2,win via score
207,approx q learning,0,win via score
208,"smart 2: 0, 0.4",1,win via score
209,"smart 2: 0, 0.4",1,win via score
210,"smart 2: 2, 0.6",2,win via score
211,"smart 2: 2, 0.6",2,win via score
212,"smart 2: 2, 0.6",2,win via score
213,"smart 2: 2, 0.6",2,win via score
214,"smart 2: 0, 0.6",3,win via score
215,"smart 2: 0, 0.4",1,win via score
216,"smart 2: 0, 0.4",1,win via score
217,"smart 2: 2, 0.6",2,win via score
218,"smart 2: 2, 0.6",2,win via score
219,"smart 2: 0, 0.4",1,win via score
220,"smart 2: 0, 0.6",3,win via score
221,"smart 2: 0, 0.6",3,win via score
222,"smart 2: 2, 0.6",2,win via score
223,"smart 2: 0, 0.6",3,win via elim
224,"smart 2: 0, 0.4",1,win via score
225,"smart 2: 0, 0.4",1,win via score
226,"smart 2: 2, 0.6",2,win via score
227,"smart 2: 0, 0.6",3,win via score
228,"smart 2: 0, 0.6",3,win via elim
229,"smart 2: 0, 0.4",1,win via score
230,"smart 2: 0, 0.6",3,win via elim
231,approx q learning,0,win via score
232,"smart 2: 2, 0.6",2,win via score
233,approx q learning,0,win via score
234,"smart 2: 2, 0.6",2,win via score
235,"smart 2: 0, 0.6",3,win via score
236,"smart 2: 0, 0.6",3,win via score
237,"smart 2: 0, 0.4",1,win via score
238,"smart 2: 0, 0.6",3,win via score
239,"smart 2: 2, 0.6",2,win via score
240,"smart 2: 2, 0.6",2,win via score
241,"smart 2: 0, 0.4",1,win via score
242,"smart 2: 0, 0.6",3,win via score
243,approx q learning,0,win via score
244,"smart 2: 2, 0.6",2,win via score
245,"smart 2: 2, 0.6",2,win via score
246,"smart 2: 0, 0.4",1,win via score
247,"smart 2: 0, 0.6",3,win via elim
248,"smart 2: 2, 0.6",2,win via score
249,"smart 2: 0, 0.6",3,win via score
250,"smart 2: 0, 0.6",3,win via score
251,"smart 2: 0, 0.4",1,win via score
252,approx q learning,0,win via score
253,approx q learning,0,win via score
254,"smart 2: 0, 0.6",3,win via score
255,"smart 2: 2, 0.6",2,win via score
256,"smart 2: 2, 0.6",2,win via score
257,"smart 2: 0, 0.6",3,win via elim
258,"smart 2: 0, 0.6",3,win via score
259,"smart 2: 0, 0.4",1,win via score
260,"smart 2: 0, 0.6",3,win via score
261,"smart 2: 0, 0.6",3,win via score
262,"smart 2: 2, 0.6",2,win via score
263,approx q learning,0,win via score
264,"smart 2: 0, 0.4",1,win via elim
265,approx q learning,0,win via score
266,"smart 2: 2, 0.6",2,win via score
267,"smart 2: 0, 0.4",1,win via score
268,"smart 2: 2, 0.6",2,win via score
269,"smart 2: 0, 0.6",3,win via score
270,"smart 2: 2, 0.6",2,win via score
271,"smart 2: 2, 0.6",2,win via score
272,approx q learning,0,win via score
273,"smart 2: 2, 0.6",2,win via score
274,"smart 2: 2, 0.6",2,win via score
275,"smart 2: 0, 0.4",1,win via score
276,"smart 2: 0, 0.6",3,win via score
277,"smart 2: 0, 0.4",1,win via elim
278,"smart 2: 2, 0.6",2,win via score
279,approx q learning,0,win via score
280,"smart 2: 0, 0.4",1,win via score
281,"smart 2: 2, 0.6",2,win via score
282,"smart 2: 2, 0.6",2,win via score
283,"smart 2: 2, 0.6",2,win via score
284,"smart 2: 0, 0.4",1,win via score
285,"smart 2: 2, 0.6",2,win via score
286,"smart 2: 0, 0.6",3,win via score
287,"smart 2: 0, 0.4",1,win via score
288,"smart 2: 2, 0.6",2,win via score
289,"smart 2: 2, 0.6",2,win via elim
290,"smart 2: 0, 0.4",1,win via score
291,"smart 2: 0, 0.4",1,win via score
292,approx q learning,0,win via score
293,"smart 2: 0, 0.6",3,win via score
294,"smart 2: 2, 0.6",2,win via score
295,"smart 2: 2, 0.6",2,win via score
296,"smart 2: 0, 0.6",3,win via score
297,"smart 2: 0, 0.6",3,win via score
298,"smart 2: 0, 0.6",3,win via score
299,"smart 2: 2, 0.6",2,win via score
300,"smart 2: 2, 0.6",2,win via score
301,"smart 2: 0, 0.6",3,win via score
302,"smart 2: 2, 0.6",2,win via score
303,"smart 2: 2, 0.6",2,win via score
304,"smart 2: 0, 0.6",3,win via score
305,"smart 2: 0, 0.6",3,win via score
306,"smart 2: 0, 0.6",3,win via score
307,"smart 2: 2, 0.6",2,win via score
308,"smart 2: 0, 0.6",3,win via score
309,"smart 2: 0, 0.6",3,win via score
310,"smart 2: 0, 0.6",3,win via score
311,"smart 2: 2, 0.6",2,win via score
312,approx q learning,0,win via score
313,"smart 2: 0, 0.6",3,win via score
314,"smart 2: 2, 0.6",2,win via score
315,"smart 2: 2, 0.6",2,win via score
316,"smart 2: 2, 0.6",2,win via score
317,"smart 2: 2, 0.6",2,win via elim
